Blooket Import Template,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,
14,A t-statistic of 9.18 with p ≈ 0 suggests:,Strong evidence against H₀,Weak evidence against H₀,Evidence for H₀,Inconclusive results,30,1,,,,,,,,,,,,,,,
15,"For n=11 data points, slope test degrees of freedom are:",9,10,11,12,30,1,,,,,,,,,,,,,,,
16,A p-value of 1.52e-8 in a two-tailed test means:,Extremely unlikely under H₀,Likely sampling error,Supports H₀,Requires larger alpha,30,1,,,,,,,,,,,,,,,
17,What's needed to calculate the t-statistic?,"b, β₀, SE_b","r, SE_r","n, df","α, β",30,1,,,,,,,,,,,,,,,
18,For computer output showing two-tailed p-value:,Halve it for one-tailed tests,Double it for one-tailed tests,Use as-is,Take reciprocal,30,1,,,,,,,,,,,,,,,
19,Rejecting H₀ in the drink study suggests:,Speed affects spillage,No relationship exists,Results are inconclusive,Sample was biased,30,1,,,,,,,,,,,,,,,
20,A positive sample slope (b=0.57) provides:,Evidence for Ha: β > 0,Evidence for H₀,Proof of causation,Margin of error,30,1,,,,,,,,,,,,,,,
21,The p-value measures:,Chance of extreme results if H₀ true,Probability H₀ is false,Effect size magnitude,Sampling bias risk,30,1,,,,,,,,,,,,,,,
22,Failing to reject H₀ means:,No convincing evidence,H₀ is true,Ha is false,Study was flawed,30,1,,,,,,,,,,,,,,,
23,What hypotheses were tested for non-completers' GPA vs credit hours?,H₀: β=0 vs Hₐ: β≠0,H₀: β≥0 vs Hₐ: β<0,H₀: μ=0 vs Hₐ: μ≠0,H₀: r=0 vs Hₐ: r≠0,30,1,,,,,,,,,,,,,,,
24,"For n=7 non-completers, degrees of freedom were:",5,6,7,20,30,1,,,,,,,,,,,,,,,
25,"With t=-3.44 and p=0.018 (α=0.01), we:",Fail to reject H₀,Reject H₀,Accept Hₐ,Prove H₀,30,1,,,,,,,,,,,,,,,
26,Completers showed stronger evidence because:,p≈0.000 < 0.018,t=8.49 > -3.44,n=13 > 7,α=0.01 < 0.05,30,1,,,,,,,,,,,,,,,
27,A p-value of 0.018 means:,1.8% chance of extreme results if H₀ true,98.2% chance Hₐ is true,1.8% effect size,98.2% confidence interval,30,1,,,,,,,,,,,,,,,
28,"For 7 non-completers, df calculation was:",7 - 2,7 - 1,20 - 2,√7,30,1,,,,,,,,,,,,,,,
29,The t-statistic measures:,(b - 0)/SE_b,r² variation,Mean difference,Residual SD,30,1,,,,,,,,,,,,,,,
30,Failing to reject H₀ implies:,No linear relationship shown,Relationship exists,Sample was biased,H₀ is definitely true,30,1,,,,,,,,,,,,,,,
31,What type of data requires a chi-square test?,Two categorical variables,One quantitative variable,Paired measurements,Regression slope,30,1,,,,,,,,,,,,,,,
32,For comparing defect rates between paired ovens:,Paired t-test,Two-sample t-test,ANOVA,Chi-square,30,1,,,,,,,,,,,,,,,
33,Which procedure tests H₀: β=0?,t-test for slope,z-test for proportion,Chi-square goodness-of-fit,One-sample t-test,30,1,,,,,,,,,,,,,,,
34,Birth month vs political party requires:,Chi-square independence,Two-proportion z-test,Linear regression,ANOVA,30,1,,,,,,,,,,,,,,,
35,Conditions for slope inference include:,"Linear trend, residuals normal",Random assignment,Success/failure ≥10,Equal variances,30,1,,,,,,,,,,,,,,,
36,For estimating a population proportion:,One-sample z interval,Two-sample t interval,Chi-square interval,Slope confidence interval,30,1,,,,,,,,,,,,,,,
37,Standard error formula appears in:,Both CI and test statistics,Only confidence intervals,Only hypothesis tests,Neither formula,30,1,,,,,,,,,,,,,,,
38,When comparing two independent means:,Two-sample t-test,Paired t-test,One-proportion z-test,Chi-square homogeneity,30,1,,,,,,,,,,,,,,,
